id,Light,CO2,HumidityRatio,Occupancy
140,585.2,749.2,0.004764163,1
141,578.4,760.4,0.004772661,1
142,572.6666666667,769.6666666667,0.0047651526,1
143,493.75,774.75,0.0047437734,1
144,488.6,779,0.004766594,1
145,568.6666666667,790,0.0047793324,1
146,536.3333333333,798,0.0047761363,1
147,509,797,0.0047830937,1
148,476,803.2,0.004794094,1
149,510,809,0.0047961887,1
150,481.5,815.25,0.0048088862,1
151,481.8,824,0.0048167934,1
152,475.25,832,0.0048241038,1
153,469,845.3333333333,0.0048423808,1
154,464,852.4,0.0048559064,1
155,464,861,0.0048771098,1
156,455,880,0.0048921908,1
157,454,891,0.0048475944,1
158,458,897.6,0.0048750448,1
159,464,900.5,0.0048914916,1
160,473,908.8,0.0048976302,1
161,464,918,0.0048966518,1
162,498.4,925.2,0.004910462,1
163,530.2,929.4,0.0049202748,1
164,533.6,936.4,0.0049275438,1
165,524.25,950,0.0049293611,1
166,498.6666666667,961,0.0049464057,1
167,516.3333333333,963,0.0049384476,1
168,501.2,958.6,0.0049424457,1
169,522,965.3333333333,0.0049584388,1
